item,affect_valence,utterance,utterance_prob,halo,goal,state
electric kettle,0,5000,0.06171159298959696,exact,state,50
electric kettle,0,5001,0.06171159298959696,exact,state,50
electric kettle,0,10000,0.06109755237974679,exact,state,50
electric kettle,0,10001,0.0604896215760494,exact,state,50
electric kettle,0,50,0.09374717440962128,exact,state,51
electric kettle,0,51,0.42014568692667603,exact,state,51
electric kettle,0,500,0.06098338955807161,exact,state,51
electric kettle,0,501,0.06098338955807161,exact,state,51
electric kettle,0,1000,0.060437001486485606,exact,state,51
electric kettle,0,1001,0.06037659469342955,exact,state,51
electric kettle,0,5000,0.06098338955807161,exact,state,51
electric kettle,0,5001,0.06098338955807161,exact,state,51
electric kettle,0,10000,0.06037659469342955,exact,state,51
electric kettle,0,10001,0.06098338955807161,exact,state,51
electric kettle,0,50,0.06163733465639793,exact,state,500
electric kettle,0,51,0.06163733465639793,exact,state,500
electric kettle,0,500,0.4464233732066479,exact,state,500
electric kettle,0,501,0.06163733465639793,exact,state,500
electric kettle,0,1000,0.06163733465639793,exact,state,500
electric kettle,0,1001,0.0610240329293086,exact,state,500
electric kettle,0,5000,0.06108508748442759,exact,state,500
electric kettle,0,5001,0.0610240329293086,exact,state,500
electric kettle,0,10000,0.06225680016831752,exact,state,500
electric kettle,0,10001,0.06163733465639793,exact,state,500
electric kettle,0,50,0.05661480109470351,exact,state,501
electric kettle,0,51,0.057758495942164756,exact,state,501
electric kettle,0,500,0.13924994091006462,exact,state,501
electric kettle,0,501,0.39792774933187564,exact,state,501
electric kettle,0,1000,0.06011566487775242,exact,state,501
electric kettle,0,1001,0.05718378930514221,exact,state,501
electric kettle,0,5000,0.057758495942164756,exact,state,501
electric kettle,0,5001,0.057816283326983714,exact,state,501
electric kettle,0,10000,0.057816283326983714,exact,state,501
electric kettle,0,10001,0.057758495942164756,exact,state,501
electric kettle,0,50,0.06177680537105932,exact,state,1000
electric kettle,0,51,0.06055354266584199,exact,state,1000
electric kettle,0,500,0.0623976725869646,exact,state,1000
electric kettle,0,501,0.06122330859431334,exact,state,1000
electric kettle,0,1000,0.44743352374689704,exact,state,1000
electric kettle,0,1001,0.06177680537105932,exact,state,1000
electric kettle,0,5000,0.06055354266584199,exact,state,1000
electric kettle,0,5001,0.06116211588717199,exact,state,1000
electric kettle,0,10000,0.06177680537105932,exact,state,1000
electric kettle,0,10001,0.061345877739791076,exact,state,1000
electric kettle,0,50,0.06230404312965208,exact,state,1001
electric kettle,0,51,0.06230404312965208,exact,state,1001
electric kettle,0,500,0.06293020917312431,exact,state,1001
electric kettle,0,501,0.06293020917312431,exact,state,1001
electric kettle,0,1000,0.06293020917312431,exact,state,1001
electric kettle,0,1001,0.4335583206030929,exact,state,1001
electric kettle,0,5000,0.06293020917312431,exact,state,1001
electric kettle,0,5001,0.06168410754241305,exact,state,1001
electric kettle,0,10000,0.06549843972956844,exact,state,1001
electric kettle,0,10001,0.06293020917312431,exact,state,1001
electric kettle,0,50,0.06292632567745976,exact,state,5000
electric kettle,0,51,0.061742012096493076,exact,state,5000
electric kettle,0,500,0.06549439774543925,exact,state,5000
electric kettle,0,501,0.06292632567745976,exact,state,5000
electric kettle,0,1000,0.06292632567745976,exact,state,5000
electric kettle,0,1001,0.06230019827541503,exact,state,5000
electric kettle,0,5000,0.4335315652199389,exact,state,5000
electric kettle,0,5001,0.06292632567745976,exact,state,5000
electric kettle,0,10000,0.06292632567745976,exact,state,5000
electric kettle,0,10001,0.06230019827541503,exact,state,5000
electric kettle,0,50,0.06149736962790567,exact,state,5001
electric kettle,0,51,0.06149736962790567,exact,state,5001
electric kettle,0,500,0.06273969890251008,exact,state,5001
electric kettle,0,501,0.06211542846790295,exact,state,5001
electric kettle,0,1000,0.06273969890251008,exact,state,5001
electric kettle,0,1001,0.06149736962790567,exact,state,5001
electric kettle,0,5000,0.07511305688311944,exact,state,5001
electric kettle,0,5001,0.42794488058982766,exact,state,5001
electric kettle,0,10000,0.06273969890251008,exact,state,5001
electric kettle,0,10001,0.06211542846790295,exact,state,5001
electric kettle,0,50,0.06121549200317809,exact,state,10000
electric kettle,0,51,0.06121549200317809,exact,state,10000
electric kettle,0,500,0.06121549200317809,exact,state,10000
electric kettle,0,501,0.06121549200317809,exact,state,10000
electric kettle,0,1000,0.061830717925949595,exact,state,10000
electric kettle,0,1001,0.06121549200317809,exact,state,10000
electric kettle,0,5000,0.061830717925949595,exact,state,10000
electric kettle,0,5001,0.06060638768062,exact,state,10000
electric kettle,0,10000,0.4478239985256407,exact,state,10000
electric kettle,0,10001,0.061830717925949595,exact,state,10000
electric kettle,0,50,0.062417052493462966,exact,state,10001
electric kettle,0,51,0.06185781934500851,exact,state,10001
electric kettle,0,500,0.06304435429992357,exact,state,10001
electric kettle,0,501,0.06179599244426611,exact,state,10001
electric kettle,0,1000,0.06561724320736266,exact,state,10001
electric kettle,0,1001,0.06304435429992357,exact,state,10001
electric kettle,0,5000,0.062417052493462966,exact,state,10001
electric kettle,0,5001,0.062417052493462966,exact,state,10001
electric kettle,0,10000,0.06304435429992357,exact,state,10001
electric kettle,0,10001,0.434344724623203,exact,state,10001
laptop,0,50,0.4444036370629122,exact,state,50
laptop,0,51,0.06197513411532823,exact,state,50
laptop,0,500,0.06197513411532823,exact,state,50
laptop,0,501,0.06646883837301683,exact,state,50
laptop,0,1000,0.06197513411532823,exact,state,50
laptop,0,1001,0.06014349209329005,exact,state,50
laptop,0,5000,0.06080872256619011,exact,state,50
laptop,0,5001,0.06074794423785295,exact,state,50
laptop,0,10000,0.0613584712274631,exact,state,50
laptop,0,10001,0.06014349209329005,exact,state,50
laptop,0,50,0.08532715610044293,exact,state,51
laptop,0,51,0.42262817084691723,exact,state,51
laptop,0,500,0.06134371762685919,exact,state,51
laptop,0,501,0.06196023223857316,exact,state,51
laptop,0,1000,0.06384720223505057,exact,state,51
laptop,0,1001,0.06073333743802784,exact,state,51
laptop,0,5000,0.06134371762685919,exact,state,51
laptop,0,5001,0.06134371762685919,exact,state,51
laptop,0,10000,0.06134371762685919,exact,state,51
laptop,0,10001,0.0601290306335516,exact,state,51
laptop,0,50,0.06151663874572427,exact,state,500
laptop,0,51,0.06090453796301194,exact,state,500
laptop,0,500,0.4455492037462786,exact,state,500
laptop,0,501,0.06402718039865075,exact,state,500
laptop,0,1000,0.06151663874572427,exact,state,500
laptop,0,1001,0.06151663874572427,exact,state,500
laptop,0,5000,0.06151663874572427,exact,state,500
laptop,0,5001,0.06151663874572427,exact,state,500
laptop,0,10000,0.06151663874572427,exact,state,500
laptop,0,10001,0.060419245417713194,exact,state,500
laptop,0,50,0.060474451240101396,exact,state,501
laptop,0,51,0.06294246041406977,exact,state,501
laptop,0,500,0.08001554932052485,exact,state,501
laptop,0,501,0.43364272565305884,exact,state,501
laptop,0,1000,0.060474451240101396,exact,state,501
laptop,0,1001,0.060474451240101396,exact,state,501
laptop,0,5000,0.06169611619253415,exact,state,501
laptop,0,5001,0.060474451240101396,exact,state,501
laptop,0,10000,0.05993262306307237,exact,state,501
laptop,0,10001,0.05987272039633455,exact,state,501
laptop,0,50,0.06308424257984893,exact,state,1000
laptop,0,51,0.06308424257984893,exact,state,1000
laptop,0,500,0.06308424257984893,exact,state,1000
laptop,0,501,0.06308424257984893,exact,state,1000
laptop,0,1000,0.43029499870381277,exact,state,1000
laptop,0,1001,0.06308424257984893,exact,state,1000
laptop,0,5000,0.06245654387837162,exact,state,1000
laptop,0,5001,0.06308424257984893,exact,state,1000
laptop,0,10000,0.065658759358873,exact,state,1000
laptop,0,10001,0.06308424257984893,exact,state,1000
laptop,0,50,0.06037416159637889,exact,state,1001
laptop,0,51,0.06037416159637889,exact,state,1001
laptop,0,500,0.06037416159637889,exact,state,1001
laptop,0,501,0.06037416159637889,exact,state,1001
laptop,0,1000,0.12528125193322961,exact,state,1001
laptop,0,1001,0.3917254552957393,exact,state,1001
laptop,0,5000,0.06037416159637889,exact,state,1001
laptop,0,5001,0.06037416159637889,exact,state,1001
laptop,0,10000,0.06037416159637889,exact,state,1001
laptop,0,10001,0.06037416159637889,exact,state,1001
laptop,0,50,0.06297324362277774,exact,state,5000
laptop,0,51,0.06234664937937695,exact,state,5000
laptop,0,500,0.06360613524301868,exact,state,5000
laptop,0,501,0.06234664937937695,exact,state,5000
laptop,0,1000,0.06297324362277774,exact,state,5000
laptop,0,1001,0.06297324362277774,exact,state,5000
laptop,0,5000,0.43385480688472106,exact,state,5000
laptop,0,5001,0.06297324362277774,exact,state,5000
laptop,0,10000,0.06360613524301868,exact,state,5000
laptop,0,10001,0.06234664937937695,exact,state,5000
laptop,0,50,0.0654642687478439,exact,state,5001
laptop,0,51,0.06481288839031371,exact,state,5001
laptop,0,500,0.0654642687478439,exact,state,5001
laptop,0,501,0.06481288839031371,exact,state,5001
laptop,0,1000,0.06481288839031371,exact,state,5001
laptop,0,1001,0.06678673470042203,exact,state,5001
laptop,0,5000,0.06882069358000055,exact,state,5001
laptop,0,5001,0.40809683155726073,exact,state,5001
laptop,0,10000,0.0654642687478439,exact,state,5001
laptop,0,10001,0.0654642687478439,exact,state,5001
laptop,0,50,0.06131918108892174,exact,state,10000
laptop,0,51,0.06076978445240804,exact,state,10000
laptop,0,500,0.06131918108892174,exact,state,10000
laptop,0,501,0.06076978445240804,exact,state,10000
laptop,0,1000,0.06642627587404781,exact,state,10000
laptop,0,1001,0.06131918108892174,exact,state,10000
laptop,0,5000,0.06131918108892174,exact,state,10000
laptop,0,5001,0.06131918108892174,exact,state,10000
laptop,0,10000,0.44411906868760576,exact,state,10000
laptop,0,10001,0.06131918108892174,exact,state,10000
laptop,0,50,0.06330836359825712,exact,state,10001
laptop,0,51,0.06267843485538634,exact,state,10001
laptop,0,500,0.06267843485538634,exact,state,10001
laptop,0,501,0.06274114463990817,exact,state,10001
laptop,0,1000,0.06655425280971174,exact,state,10001
laptop,0,1001,0.06330836359825712,exact,state,10001
laptop,0,5000,0.06330836359825712,exact,state,10001
laptop,0,5001,0.06330836359825712,exact,state,10001
laptop,0,10000,0.06458727737784299,exact,state,10001
laptop,0,10001,0.4275270010687359,exact,state,10001
watch,0,50,0.44444602559999463,exact,state,50
watch,0,51,0.06451053993904574,exact,state,50
watch,0,500,0.061364323780448794,exact,state,50
watch,0,501,0.06386864934172129,exact,state,50
watch,0,1000,0.061364323780448794,exact,state,50
watch,0,1001,0.06014922875796209,exact,state,50
watch,0,5000,0.061364323780448794,exact,state,50
watch,0,5001,0.061364323780448794,exact,state,50
watch,0,10000,0.060814522682517844,exact,state,50
watch,0,10001,0.06075373855696344,exact,state,50
watch,0,50,0.10228158766511357,exact,state,51
watch,0,51,0.4147722909083892,exact,state,51
watch,0,500,0.0602034508062782,exact,state,51
watch,0,501,0.06266040024273578,exact,state,51
watch,0,1000,0.0602034508062782,exact,state,51
watch,0,1001,0.05960441646188194,exact,state,51
watch,0,5000,0.0602034508062782,exact,state,51
watch,0,5001,0.0602034508062782,exact,state,51
watch,0,10000,0.059664050690488614,exact,state,51
watch,0,10001,0.0602034508062782,exact,state,51
watch,0,50,0.06382195375084791,exact,state,500
watch,0,51,0.06382195375084791,exact,state,500
watch,0,500,0.41825748422072034,exact,state,500
watch,0,501,0.06642657709389081,exact,state,500
watch,0,1000,0.06983234053000108,exact,state,500
watch,0,1001,0.06382195375084791,exact,state,500
watch,0,5000,0.06318691470057407,exact,state,500
watch,0,5001,0.06382195375084791,exact,state,500
watch,0,10000,0.06318691470057407,exact,state,500
watch,0,10001,0.06382195375084791,exact,state,500
watch,0,50,0.06276249113495051,exact,state,501
watch,0,51,0.06276249113495051,exact,state,501
watch,0,500,0.10142885534105194,exact,state,501
watch,0,501,0.3912542561419439,exact,state,501
watch,0,1000,0.06598039286672992,exact,state,501
watch,0,1001,0.06276249113495051,exact,state,501
watch,0,5000,0.06532387698841076,exact,state,501
watch,0,5001,0.06276249113495051,exact,state,501
watch,0,10000,0.06276249113495051,exact,state,501
watch,0,10001,0.06220016298711111,exact,state,501
watch,0,50,0.061750916383740403,exact,state,1000
watch,0,51,0.06181269818587672,exact,state,1000
watch,0,500,0.061750916383740403,exact,state,1000
watch,0,501,0.061750916383740403,exact,state,1000
watch,0,1000,0.4472460164656,exact,state,1000
watch,0,1001,0.061750916383740403,exact,state,1000
watch,0,5000,0.06113648449958096,exact,state,1000
watch,0,5001,0.06052816631481872,exact,state,1000
watch,0,10000,0.06113648449958096,exact,state,1000
watch,0,10001,0.06113648449958096,exact,state,1000
watch,0,50,0.06426045087784898,exact,state,1001
watch,0,51,0.06484140530925384,exact,state,1001
watch,0,500,0.06484140530925384,exact,state,1001
watch,0,501,0.06419622254648917,exact,state,1001
watch,0,1000,0.07762925628545742,exact,state,1001
watch,0,1001,0.4042139714773513,exact,state,1001
watch,0,5000,0.06484140530925384,exact,state,1001
watch,0,5001,0.06484140530925384,exact,state,1001
watch,0,10000,0.0654930722665841,exact,state,1001
watch,0,10001,0.06484140530925384,exact,state,1001
watch,0,50,0.06269426857514553,exact,state,5000
watch,0,51,0.06269426857514553,exact,state,5000
watch,0,500,0.06332435644954545,exact,state,5000
watch,0,501,0.06269426857514553,exact,state,5000
watch,0,1000,0.06525287021312273,exact,state,5000
watch,0,1001,0.06269426857514553,exact,state,5000
watch,0,5000,0.4319328054369133,exact,state,5000
watch,0,5001,0.06269426857514553,exact,state,5000
watch,0,10000,0.06332435644954545,exact,state,5000
watch,0,10001,0.06269426857514553,exact,state,5000
watch,0,50,0.06337530638353553,exact,state,5001
watch,0,51,0.06268199819917405,exact,state,5001
watch,0,500,0.06524009907360824,exact,state,5001
watch,0,501,0.06394825855835207,exact,state,5001
watch,0,1000,0.06394825855835207,exact,state,5001
watch,0,1001,0.06331196275424528,exact,state,5001
watch,0,5000,0.0679025980251903,exact,state,5001
watch,0,5001,0.41908522339081694,exact,state,5001
watch,0,10000,0.06655803649837343,exact,state,5001
watch,0,10001,0.06394825855835207,exact,state,5001
watch,0,50,0.06288928634755127,exact,state,10000
watch,0,51,0.06415973420509816,exact,state,10000
watch,0,500,0.06352133418314825,exact,state,10000
watch,0,501,0.06617983576577104,exact,state,10000
watch,0,1000,0.06677814262998608,exact,state,10000
watch,0,1001,0.06415973420509816,exact,state,10000
watch,0,5000,0.06415973420509816,exact,state,10000
watch,0,5001,0.06352133418314825,exact,state,10000
watch,0,10000,0.42047113007000253,exact,state,10000
watch,0,10001,0.06415973420509816,exact,state,10000
watch,0,50,0.06192996954481231,exact,state,10001
watch,0,51,0.06236500016241402,exact,state,10001
watch,0,500,0.06299177883425044,exact,state,10001
watch,0,501,0.06174445804256484,exact,state,10001
watch,0,1000,0.06362485673646363,exact,state,10001
watch,0,1001,0.06174445804256484,exact,state,10001
watch,0,5000,0.06236500016241402,exact,state,10001
watch,0,5001,0.06236500016241402,exact,state,10001
watch,0,10000,0.06688697289810959,exact,state,10001
watch,0,10001,0.4339825054139922,exact,state,10001
electric kettle,0,50,0.7009670543721828,fuzzy,state,50
electric kettle,0,51,0.13195499109499928,fuzzy,state,50
electric kettle,0,500,0.02095675204766943,fuzzy,state,50
electric kettle,0,501,0.02138010652164081,fuzzy,state,50
electric kettle,0,1000,0.02074822888071766,fuzzy,state,50
electric kettle,0,1001,0.020582905226015937,fuzzy,state,50
electric kettle,0,5000,0.02095675204766943,fuzzy,state,50
electric kettle,0,5001,0.02095675204766943,fuzzy,state,50
electric kettle,0,10000,0.02074822888071766,fuzzy,state,50
electric kettle,0,10001,0.02074822888071766,fuzzy,state,50
electric kettle,0,50,0.020331145550156422,fuzzy,state,500
electric kettle,0,51,0.019514425744248703,fuzzy,state,500
electric kettle,0,500,0.7893059174895617,fuzzy,state,500
electric kettle,0,501,0.045202571364824466,fuzzy,state,500
electric kettle,0,1000,0.023597811479745052,fuzzy,state,500
electric kettle,0,1001,0.01971054898352999,fuzzy,state,500
electric kettle,0,5000,0.021566775815490394,fuzzy,state,500
electric kettle,0,5001,0.021139725041847898,fuzzy,state,500
electric kettle,0,10000,0.020310824566791365,fuzzy,state,500
electric kettle,0,10001,0.019320253963803914,fuzzy,state,500
electric kettle,0,50,0.02027753733626828,fuzzy,state,1000
electric kettle,0,51,0.02027753733626828,fuzzy,state,1000
electric kettle,0,500,0.023092635062467063,fuzzy,state,1000
electric kettle,0,501,0.020481329974553233,fuzzy,state,1000
electric kettle,0,1000,0.803931236054996,fuzzy,state,1000
electric kettle,0,1001,0.029356492701843533,fuzzy,state,1000
electric kettle,0,5000,0.020895080285569367,fuzzy,state,1000
electric kettle,0,5001,0.019895901151454395,fuzzy,state,1000
electric kettle,0,10000,0.021105079333676446,fuzzy,state,1000
electric kettle,0,10001,0.02068717076290347,fuzzy,state,1000
electric kettle,0,50,0.02115118974281813,fuzzy,state,5000
electric kettle,0,51,0.021363762733762393,fuzzy,state,5000
electric kettle,0,500,0.023610609274022493,fuzzy,state,5000
electric kettle,0,501,0.021363762733762393,fuzzy,state,5000
electric kettle,0,1000,0.025070607813359885,fuzzy,state,5000
electric kettle,0,1001,0.023375679786462534,fuzzy,state,5000
electric kettle,0,5000,0.7897339815395975,fuzzy,state,5000
electric kettle,0,5001,0.03001496697817177,fuzzy,state,5000
electric kettle,0,10000,0.023143087886361022,fuzzy,state,5000
electric kettle,0,10001,0.0211723515116819,fuzzy,state,5000
electric kettle,0,50,0.018108784767804843,fuzzy,state,10000
electric kettle,0,51,0.018290781080412516,fuzzy,state,10000
electric kettle,0,500,0.018290781080412516,fuzzy,state,10000
electric kettle,0,501,0.01903724201688764,fuzzy,state,10000
electric kettle,0,1000,0.05834637121456422,fuzzy,state,10000
electric kettle,0,1001,0.018530113524757023,fuzzy,state,10000
electric kettle,0,5000,0.019228569479979106,fuzzy,state,10000
electric kettle,0,5001,0.018126902609983914,fuzzy,state,10000
electric kettle,0,10000,0.785560257325856,fuzzy,state,10000
electric kettle,0,10001,0.026480196899342244,fuzzy,state,10000
laptop,0,50,0.7138677425742458,fuzzy,state,50
laptop,0,51,0.14412741153444525,fuzzy,state,50
laptop,0,500,0.0189290487056597,fuzzy,state,50
laptop,0,501,0.018369610770729627,fuzzy,state,50
laptop,0,1000,0.017649328029855794,fuzzy,state,50
laptop,0,1001,0.01747371428174326,fuzzy,state,50
laptop,0,5000,0.01747371428174326,fuzzy,state,50
laptop,0,5001,0.01747371428174326,fuzzy,state,50
laptop,0,10000,0.01747371428174326,fuzzy,state,50
laptop,0,10001,0.01716200125809094,fuzzy,state,50
laptop,0,50,0.021776968593131697,fuzzy,state,500
laptop,0,51,0.02156028413519089,fuzzy,state,500
laptop,0,500,0.758128521550232,fuzzy,state,500
laptop,0,501,0.06348812780805903,fuzzy,state,500
laptop,0,1000,0.02455346352569893,fuzzy,state,500
laptop,0,1001,0.021776968593131697,fuzzy,state,500
laptop,0,5000,0.02156028413519089,fuzzy,state,500
laptop,0,5001,0.02335597697904987,fuzzy,state,500
laptop,0,10000,0.02156028413519089,fuzzy,state,500
laptop,0,10001,0.022239120545123975,fuzzy,state,500
laptop,0,50,0.020639619381563196,fuzzy,state,1000
laptop,0,51,0.020639619381563196,fuzzy,state,1000
laptop,0,500,0.021697835296039775,fuzzy,state,1000
laptop,0,501,0.02148193822756101,fuzzy,state,1000
laptop,0,1000,0.8020833255207264,fuzzy,state,1000
laptop,0,1001,0.030484321419616784,fuzzy,state,1000
laptop,0,5000,0.020639619381563196,fuzzy,state,1000
laptop,0,5001,0.020639619381563196,fuzzy,state,1000
laptop,0,10000,0.02084705100490154,fuzzy,state,1000
laptop,0,10001,0.02084705100490154,fuzzy,state,1000
laptop,0,50,0.023315197864882994,fuzzy,state,5000
laptop,0,51,0.023083207769956367,fuzzy,state,5000
laptop,0,500,0.02451059362163948,fuzzy,state,5000
laptop,0,501,0.023315197864882994,fuzzy,state,5000
laptop,0,1000,0.02451059362163948,fuzzy,state,5000
laptop,0,1001,0.023315197864882994,fuzzy,state,5000
laptop,0,5000,0.7798529816202672,fuzzy,state,5000
laptop,0,5001,0.026818861219146874,fuzzy,state,5000
laptop,0,10000,0.025510889923253597,fuzzy,state,5000
laptop,0,10001,0.02576727862944812,fuzzy,state,5000
laptop,0,50,0.020571104136350677,fuzzy,state,10000
laptop,0,51,0.02038679483506541,fuzzy,state,10000
laptop,0,500,0.02046850532644113,fuzzy,state,10000
laptop,0,501,0.020571104136350677,fuzzy,state,10000
laptop,0,1000,0.028047160004928833,fuzzy,state,10000
laptop,0,1001,0.020902889003421892,fuzzy,state,10000
laptop,0,5000,0.022963072432534037,fuzzy,state,10000
laptop,0,5001,0.020777847170026825,fuzzy,state,10000
laptop,0,10000,0.7994207310846093,fuzzy,state,10000
laptop,0,10001,0.025890791870271285,fuzzy,state,10000
watch,0,50,0.7522948930730167,fuzzy,state,50
watch,0,51,0.08419439843415312,fuzzy,state,50
watch,0,500,0.02055549685684275,fuzzy,state,50
watch,0,501,0.02076208303475211,fuzzy,state,50
watch,0,1000,0.02035096624574871,fuzzy,state,50
watch,0,1001,0.02057606263487479,fuzzy,state,50
watch,0,5000,0.02055549685684275,fuzzy,state,50
watch,0,5001,0.020371327390870258,fuzzy,state,50
watch,0,10000,0.020371327390870258,fuzzy,state,50
watch,0,10001,0.019967948082028588,fuzzy,state,50
watch,0,50,0.021076326440426056,fuzzy,state,500
watch,0,51,0.02024991186008823,fuzzy,state,500
watch,0,500,0.8028359855399193,fuzzy,state,500
watch,0,501,0.026553204599618897,fuzzy,state,500
watch,0,1000,0.02679326207928818,fuzzy,state,500
watch,0,1001,0.02024991186008823,fuzzy,state,500
watch,0,5000,0.020453426857721793,fuzzy,state,500
watch,0,5001,0.021288147042672807,fuzzy,state,500
watch,0,10000,0.02024991186008823,fuzzy,state,500
watch,0,10001,0.02024991186008823,fuzzy,state,500
watch,0,50,0.020352889829351566,fuzzy,state,1000
watch,0,51,0.02015037519186465,fuzzy,state,1000
watch,0,500,0.027749641138503298,fuzzy,state,1000
watch,0,501,0.02139640480532285,fuzzy,state,1000
watch,0,1000,0.7988897155668566,fuzzy,state,1000
watch,0,1001,0.028594743526753754,fuzzy,state,1000
watch,0,5000,0.02139640480532285,fuzzy,state,1000
watch,0,5001,0.020352889829351566,fuzzy,state,1000
watch,0,10000,0.020764045477321396,fuzzy,state,1000
watch,0,10001,0.020352889829351566,fuzzy,state,1000
watch,0,50,0.022135200265614614,fuzzy,state,5000
watch,0,51,0.021936877255448343,fuzzy,state,5000
watch,0,500,0.02421976689530025,fuzzy,state,5000
watch,0,501,0.023038554925357904,fuzzy,state,5000
watch,0,1000,0.025461540897994028,fuzzy,state,5000
watch,0,1001,0.023038554925357904,fuzzy,state,5000
watch,0,5000,0.778344410786223,fuzzy,state,5000
watch,0,5001,0.02928774337349425,fuzzy,state,5000
watch,0,10000,0.030179687948484215,fuzzy,state,5000
watch,0,10001,0.022357662726725562,fuzzy,state,5000
watch,0,50,0.02397746090205007,fuzzy,state,10000
watch,0,51,0.02397746090205007,fuzzy,state,10000
watch,0,500,0.02520681161081143,fuzzy,state,10000
watch,0,501,0.024955999644630453,fuzzy,state,10000
watch,0,1000,0.03048132679859585,fuzzy,state,10000
watch,0,1001,0.02397746090205007,fuzzy,state,10000
watch,0,5000,0.025974473310872787,fuzzy,state,10000
watch,0,5001,0.02520681161081143,fuzzy,state,10000
watch,0,10000,0.7628903104018898,fuzzy,state,10000
watch,0,10001,0.03335188391623805,fuzzy,state,10000
electric kettle,0,50,0.35381243114430716,fuzzy,both,50
electric kettle,0,51,0.1512247161801576,fuzzy,both,50
electric kettle,0,500,0.06210129965772241,fuzzy,both,50
electric kettle,0,501,0.06210129965772241,fuzzy,both,50
electric kettle,0,1000,0.06272542809542651,fuzzy,both,50
electric kettle,0,1001,0.06210129965772241,fuzzy,both,50
electric kettle,0,5000,0.06148338140173534,fuzzy,both,50
electric kettle,0,5001,0.06148338140173534,fuzzy,both,50
electric kettle,0,10000,0.06148338140173534,fuzzy,both,50
electric kettle,0,10001,0.06148338140173534,fuzzy,both,50
electric kettle,1,50,0.34352288294492317,fuzzy,both,50
electric kettle,1,51,0.13966598163202704,fuzzy,both,50
electric kettle,1,500,0.06730629215824692,fuzzy,both,50
electric kettle,1,501,0.06663658336154529,fuzzy,both,50
electric kettle,1,1000,0.06402372555496613,fuzzy,both,50
