name,context,price,utterance_template,question_prefix,question_affect,response_prefix,task_1a,task_1b,is_price_space,price_type,price_rounded,closest_price_space,item,parsed_response,model,run,temperature,parsed_response_clean
David,David bought a new electric kettle,10003,It cost $10003.,"A friend asked him, ",Was it expensive?,"David said, ", Please provide the probability that the David thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,False,sharp,10000,10001,electric kettle,1.0,gemini-1.5-pro,iter4,1.0,1.0
Steve,Steve bought a new watch,47,It cost $47.,"A friend asked him, ",Was it expensive?,"Steve said, ", Please provide the probability that the Steve thinks that the watch is expensive., Please provide the probability that the watch costs $,False,sharp,50,51,watch,0.5,gemini-1.5-pro,iter4,1.0,0.5
Albert,Albert bought a new watch,48,It cost $48.,"A friend asked him, ",Was it expensive?,"Albert said, ", Please provide the probability that the Albert thinks that the watch is expensive., Please provide the probability that the watch costs $,False,sharp,50,51,watch,0.5,gemini-1.5-pro,iter4,1.0,0.5
Eric,Eric bought a new watch,49,It cost $49.,"A friend asked him, ",Was it expensive?,"Eric said, ", Please provide the probability that the Eric thinks that the watch is expensive., Please provide the probability that the watch costs $,True,sharp,50,51,watch,0.5,gemini-1.5-pro,iter4,1.0,0.5
Winston,Winston bought a new watch,50,It cost $50.,"A friend asked him, ",Was it expensive?,"Winston said, ", Please provide the probability that the Winston thinks that the watch is expensive., Please provide the probability that the watch costs $,True,round,50,50,watch,0.5,gemini-1.5-pro,iter4,1.0,0.5
Eric,Eric bought a new watch,50,It cost $50.,"A friend asked him, ",Was it expensive?,"Eric said, ", Please provide the probability that the Eric thinks that the watch is expensive., Please provide the probability that the watch costs $,True,round,50,50,watch,0.5,gemini-1.5-pro,iter4,1.0,0.5
Luke,Luke bought a new watch,51,It cost $51.,"A friend asked him, ",Was it expensive?,"Luke said, ", Please provide the probability that the Luke thinks that the watch is expensive., Please provide the probability that the watch costs $,False,sharp,50,51,watch,0.5,gemini-1.5-pro,iter4,1.0,0.5
Albert,Albert bought a new watch,52,It cost $52.,"A friend asked him, ",Was it expensive?,"Albert said, ", Please provide the probability that the Albert thinks that the watch is expensive., Please provide the probability that the watch costs $,False,sharp,50,51,watch,0.5,gemini-1.5-pro,iter4,1.0,0.5
George,George bought a new watch,53,It cost $53.,"A friend asked him, ",Was it expensive?,"George said, ", Please provide the probability that the George thinks that the watch is expensive., Please provide the probability that the watch costs $,False,sharp,50,51,watch,0.5,gemini-1.5-pro,iter4,1.0,0.5
Winston,Winston bought a new watch,497,It cost $497.,"A friend asked him, ",Was it expensive?,"Winston said, ", Please provide the probability that the Winston thinks that the watch is expensive., Please provide the probability that the watch costs $,False,sharp,500,501,watch,0.7,gemini-1.5-pro,iter4,1.0,0.7
Gary,Gary bought a new watch,498,It cost $498.,"A friend asked him, ",Was it expensive?,"Gary said, ", Please provide the probability that the Gary thinks that the watch is expensive., Please provide the probability that the watch costs $,False,sharp,500,501,watch,0.7,gemini-1.5-pro,iter4,1.0,0.7
Daniel,Daniel bought a new watch,499,It cost $499.,"A friend asked him, ",Was it expensive?,"Daniel said, ", Please provide the probability that the Daniel thinks that the watch is expensive., Please provide the probability that the watch costs $,True,sharp,500,501,watch,0.7,gemini-1.5-pro,iter4,1.0,0.7
Robert,Robert bought a new watch,500,It cost $500.,"A friend asked him, ",Was it expensive?,"Robert said, ", Please provide the probability that the Robert thinks that the watch is expensive., Please provide the probability that the watch costs $,True,round,500,500,watch,0.5,gemini-1.5-pro,iter4,1.0,0.5
Bob,Bob bought a new watch,500,It cost $500.,"A friend asked him, ",Was it expensive?,"Bob said, ", Please provide the probability that the Bob thinks that the watch is expensive., Please provide the probability that the watch costs $,True,round,500,500,watch,0.5,gemini-1.5-pro,iter4,1.0,0.5
Quinn,Quinn bought a new watch,501,It cost $501.,"A friend asked him, ",Was it expensive?,"Quinn said, ", Please provide the probability that the Quinn thinks that the watch is expensive., Please provide the probability that the watch costs $,False,sharp,500,501,watch,0.9,gemini-1.5-pro,iter4,1.0,0.9
Calvin,Calvin bought a new watch,502,It cost $502.,"A friend asked him, ",Was it expensive?,"Calvin said, ", Please provide the probability that the Calvin thinks that the watch is expensive., Please provide the probability that the watch costs $,False,sharp,500,501,watch,0.7,gemini-1.5-pro,iter4,1.0,0.7
Steve,Steve bought a new watch,503,It cost $503.,"A friend asked him, ",Was it expensive?,"Steve said, ", Please provide the probability that the Steve thinks that the watch is expensive., Please provide the probability that the watch costs $,False,sharp,500,501,watch,0.7,gemini-1.5-pro,iter4,1.0,0.7
George,George bought a new watch,997,It cost $997.,"A friend asked him, ",Was it expensive?,"George said, ", Please provide the probability that the George thinks that the watch is expensive., Please provide the probability that the watch costs $,False,sharp,1000,1001,watch,0.9,gemini-1.5-pro,iter4,1.0,0.9
Luke,Luke bought a new watch,999,It cost $999.,"A friend asked him, ",Was it expensive?,"Luke said, ", Please provide the probability that the Luke thinks that the watch is expensive., Please provide the probability that the watch costs $,True,sharp,1000,1001,watch,0.9,gemini-1.5-pro,iter4,1.0,0.9
Calvin,Calvin bought a new watch,1000,It cost $1000.,"A friend asked him, ",Was it expensive?,"Calvin said, ", Please provide the probability that the Calvin thinks that the watch is expensive., Please provide the probability that the watch costs $,True,round,1000,1000,watch,0.7,gemini-1.5-pro,iter4,1.0,0.7
Calvin,Calvin bought a new watch,1000,It cost $1000.,"A friend asked him, ",Was it expensive?,"Calvin said, ", Please provide the probability that the Calvin thinks that the watch is expensive., Please provide the probability that the watch costs $,True,round,1000,1000,watch,0.7,gemini-1.5-pro,iter4,1.0,0.7
Luke,Luke bought a new watch,1001,It cost $1001.,"A friend asked him, ",Was it expensive?,"Luke said, ", Please provide the probability that the Luke thinks that the watch is expensive., Please provide the probability that the watch costs $,False,sharp,1000,1001,watch,0.9,gemini-1.5-pro,iter4,1.0,0.9
George,George bought a new watch,1002,It cost $1002.,"A friend asked him, ",Was it expensive?,"George said, ", Please provide the probability that the George thinks that the watch is expensive., Please provide the probability that the watch costs $,False,sharp,1000,1001,watch,0.9,gemini-1.5-pro,iter4,1.0,0.9
Eric,Eric bought a new watch,1003,It cost $1003.,"A friend asked him, ",Was it expensive?,"Eric said, ", Please provide the probability that the Eric thinks that the watch is expensive., Please provide the probability that the watch costs $,False,sharp,1000,1001,watch,0.9,gemini-1.5-pro,iter4,1.0,0.9
Tom,Tom bought a new watch,4997,It cost $4997.,"A friend asked him, ",Was it expensive?,"Tom said, ", Please provide the probability that the Tom thinks that the watch is expensive., Please provide the probability that the watch costs $,False,sharp,5000,5001,watch,0.95,gemini-1.5-pro,iter4,1.0,0.95
Steve,Steve bought a new watch,4998,It cost $4998.,"A friend asked him, ",Was it expensive?,"Steve said, ", Please provide the probability that the Steve thinks that the watch is expensive., Please provide the probability that the watch costs $,False,sharp,5000,5001,watch,0.95,gemini-1.5-pro,iter4,1.0,0.95
Jake,Jake bought a new watch,4999,It cost $4999.,"A friend asked him, ",Was it expensive?,"Jake said, ", Please provide the probability that the Jake thinks that the watch is expensive., Please provide the probability that the watch costs $,True,sharp,5000,5001,watch,0.9,gemini-1.5-pro,iter4,1.0,0.9
Calvin,Calvin bought a new watch,5000,It cost $5000.,"A friend asked him, ",Was it expensive?,"Calvin said, ", Please provide the probability that the Calvin thinks that the watch is expensive., Please provide the probability that the watch costs $,True,round,5000,5000,watch,0.9,gemini-1.5-pro,iter4,1.0,0.9
Zach,Zach bought a new watch,5000,It cost $5000.,"A friend asked him, ",Was it expensive?,"Zach said, ", Please provide the probability that the Zach thinks that the watch is expensive., Please provide the probability that the watch costs $,True,round,5000,5000,watch,0.9,gemini-1.5-pro,iter4,1.0,0.9
Gary,Gary bought a new watch,5001,It cost $5001.,"A friend asked him, ",Was it expensive?,"Gary said, ", Please provide the probability that the Gary thinks that the watch is expensive., Please provide the probability that the watch costs $,False,sharp,5000,5001,watch,0.95,gemini-1.5-pro,iter4,1.0,0.95
Matt,Matt bought a new watch,5002,It cost $5002.,"A friend asked him, ",Was it expensive?,"Matt said, ", Please provide the probability that the Matt thinks that the watch is expensive., Please provide the probability that the watch costs $,False,sharp,5000,5001,watch,0.9,gemini-1.5-pro,iter4,1.0,0.9
Ethan,Ethan bought a new watch,5003,It cost $5003.,"A friend asked him, ",Was it expensive?,"Ethan said, ", Please provide the probability that the Ethan thinks that the watch is expensive., Please provide the probability that the watch costs $,False,sharp,5000,5001,watch,0.9,gemini-1.5-pro,iter4,1.0,0.9
Calvin,Calvin bought a new watch,9997,It cost $9997.,"A friend asked him, ",Was it expensive?,"Calvin said, ", Please provide the probability that the Calvin thinks that the watch is expensive., Please provide the probability that the watch costs $,False,sharp,10000,10001,watch,0.95,gemini-1.5-pro,iter4,1.0,0.95
Barry,Barry bought a new watch,9998,It cost $9998.,"A friend asked him, ",Was it expensive?,"Barry said, ", Please provide the probability that the Barry thinks that the watch is expensive., Please provide the probability that the watch costs $,False,sharp,10000,10001,watch,0.95,gemini-1.5-pro,iter4,1.0,0.95
Eric,Eric bought a new watch,9999,It cost $9999.,"A friend asked him, ",Was it expensive?,"Eric said, ", Please provide the probability that the Eric thinks that the watch is expensive., Please provide the probability that the watch costs $,True,sharp,10000,10001,watch,0.95,gemini-1.5-pro,iter4,1.0,0.95
Ethan,Ethan bought a new watch,10000,It cost $10000.,"A friend asked him, ",Was it expensive?,"Ethan said, ", Please provide the probability that the Ethan thinks that the watch is expensive., Please provide the probability that the watch costs $,True,round,10000,10000,watch,0.9,gemini-1.5-pro,iter4,1.0,0.9
Albert,Albert bought a new watch,10000,It cost $10000.,"A friend asked him, ",Was it expensive?,"Albert said, ", Please provide the probability that the Albert thinks that the watch is expensive., Please provide the probability that the watch costs $,True,round,10000,10000,watch,0.9,gemini-1.5-pro,iter4,1.0,0.9
Frank,Frank bought a new watch,10001,It cost $10001.,"A friend asked him, ",Was it expensive?,"Frank said, ", Please provide the probability that the Frank thinks that the watch is expensive., Please provide the probability that the watch costs $,False,sharp,10000,10001,watch,0.9,gemini-1.5-pro,iter4,1.0,0.9
Winston,Winston bought a new watch,10002,It cost $10002.,"A friend asked him, ",Was it expensive?,"Winston said, ", Please provide the probability that the Winston thinks that the watch is expensive., Please provide the probability that the watch costs $,False,sharp,10000,10001,watch,0.95,gemini-1.5-pro,iter4,1.0,0.95
Robert,Robert bought a new watch,10003,It cost $10003.,"A friend asked him, ",Was it expensive?,"Robert said, ", Please provide the probability that the Robert thinks that the watch is expensive., Please provide the probability that the watch costs $,False,sharp,10000,10001,watch,0.9,gemini-1.5-pro,iter4,1.0,0.9
Gary,Gary bought a new laptop,47,It cost $47.,"A friend asked him, ",Was it expensive?,"Gary said, ", Please provide the probability that the Gary thinks that the laptop is expensive., Please provide the probability that the laptop costs $,False,sharp,50,51,laptop,0.05,gemini-1.5-pro,iter4,1.0,0.05
Luke,Luke bought a new laptop,48,It cost $48.,"A friend asked him, ",Was it expensive?,"Luke said, ", Please provide the probability that the Luke thinks that the laptop is expensive., Please provide the probability that the laptop costs $,False,sharp,50,51,laptop,0.05,gemini-1.5-pro,iter4,1.0,0.05
Frank,Frank bought a new laptop,49,It cost $49.,"A friend asked him, ",Was it expensive?,"Frank said, ", Please provide the probability that the Frank thinks that the laptop is expensive., Please provide the probability that the laptop costs $,True,sharp,50,51,laptop,0.05,gemini-1.5-pro,iter4,1.0,0.05
David,David bought a new laptop,50,It cost $50.,"A friend asked him, ",Was it expensive?,"David said, ", Please provide the probability that the David thinks that the laptop is expensive., Please provide the probability that the laptop costs $,True,round,50,50,laptop,0.05,gemini-1.5-pro,iter4,1.0,0.05
Fred,Fred bought a new laptop,51,It cost $51.,"A friend asked him, ",Was it expensive?,"Fred said, ", Please provide the probability that the Fred thinks that the laptop is expensive., Please provide the probability that the laptop costs $,False,sharp,50,51,laptop,0.05,gemini-1.5-pro,iter4,1.0,0.05
Steve,Steve bought a new laptop,52,It cost $52.,"A friend asked him, ",Was it expensive?,"Steve said, ", Please provide the probability that the Steve thinks that the laptop is expensive., Please provide the probability that the laptop costs $,False,sharp,50,51,laptop,0.05,gemini-1.5-pro,iter4,1.0,0.05
Zach,Zach bought a new laptop,53,It cost $53.,"A friend asked him, ",Was it expensive?,"Zach said, ", Please provide the probability that the Zach thinks that the laptop is expensive., Please provide the probability that the laptop costs $,False,sharp,50,51,laptop,0.05,gemini-1.5-pro,iter4,1.0,0.05
Frank,Frank bought a new laptop,497,It cost $497.,"A friend asked him, ",Was it expensive?,"Frank said, ", Please provide the probability that the Frank thinks that the laptop is expensive., Please provide the probability that the laptop costs $,False,sharp,500,501,laptop,0.5,gemini-1.5-pro,iter4,1.0,0.5
Albert,Albert bought a new laptop,498,It cost $498.,"A friend asked him, ",Was it expensive?,"Albert said, ", Please provide the probability that the Albert thinks that the laptop is expensive., Please provide the probability that the laptop costs $,False,sharp,500,501,laptop,0.5,gemini-1.5-pro,iter4,1.0,0.5
Alex,Alex bought a new laptop,499,It cost $499.,"A friend asked him, ",Was it expensive?,"Alex said, ", Please provide the probability that the Alex thinks that the laptop is expensive., Please provide the probability that the laptop costs $,True,sharp,500,501,laptop,0.5,gemini-1.5-pro,iter4,1.0,0.5
Albert,Albert bought a new laptop,500,It cost $500.,"A friend asked him, ",Was it expensive?,"Albert said, ", Please provide the probability that the Albert thinks that the laptop is expensive., Please provide the probability that the laptop costs $,True,round,500,500,laptop,0.5,gemini-1.5-pro,iter4,1.0,0.5
Victor,Victor bought a new laptop,500,It cost $500.,"A friend asked him, ",Was it expensive?,"Victor said, ", Please provide the probability that the Victor thinks that the laptop is expensive., Please provide the probability that the laptop costs $,True,round,500,500,laptop,0.5,gemini-1.5-pro,iter4,1.0,0.5
Nathan,Nathan bought a new laptop,501,It cost $501.,"A friend asked him, ",Was it expensive?,"Nathan said, ", Please provide the probability that the Nathan thinks that the laptop is expensive., Please provide the probability that the laptop costs $,False,sharp,500,501,laptop,0.5,gemini-1.5-pro,iter4,1.0,0.5
Harry,Harry bought a new laptop,502,It cost $502.,"A friend asked him, ",Was it expensive?,"Harry said, ", Please provide the probability that the Harry thinks that the laptop is expensive., Please provide the probability that the laptop costs $,False,sharp,500,501,laptop,0.5,gemini-1.5-pro,iter4,1.0,0.5
Bob,Bob bought a new laptop,503,It cost $503.,"A friend asked him, ",Was it expensive?,"Bob said, ", Please provide the probability that the Bob thinks that the laptop is expensive., Please provide the probability that the laptop costs $,False,sharp,500,501,laptop,0.5,gemini-1.5-pro,iter4,1.0,0.5
Jake,Jake bought a new laptop,997,It cost $997.,"A friend asked him, ",Was it expensive?,"Jake said, ", Please provide the probability that the Jake thinks that the laptop is expensive., Please provide the probability that the laptop costs $,False,sharp,1000,1001,laptop,0.7,gemini-1.5-pro,iter4,1.0,0.7
Ivan,Ivan bought a new laptop,998,It cost $998.,"A friend asked him, ",Was it expensive?,"Ivan said, ", Please provide the probability that the Ivan thinks that the laptop is expensive., Please provide the probability that the laptop costs $,False,sharp,1000,1001,laptop,0.7,gemini-1.5-pro,iter4,1.0,0.7
Gary,Gary bought a new laptop,999,It cost $999.,"A friend asked him, ",Was it expensive?,"Gary said, ", Please provide the probability that the Gary thinks that the laptop is expensive., Please provide the probability that the laptop costs $,True,sharp,1000,1001,laptop,0.5,gemini-1.5-pro,iter4,1.0,0.5
Nathan,Nathan bought a new laptop,1000,It cost $1000.,"A friend asked him, ",Was it expensive?,"Nathan said, ", Please provide the probability that the Nathan thinks that the laptop is expensive., Please provide the probability that the laptop costs $,True,round,1000,1000,laptop,0.5,gemini-1.5-pro,iter4,1.0,0.5
Ethan,Ethan bought a new laptop,1000,It cost $1000.,"A friend asked him, ",Was it expensive?,"Ethan said, ", Please provide the probability that the Ethan thinks that the laptop is expensive., Please provide the probability that the laptop costs $,True,round,1000,1000,laptop,0.5,gemini-1.5-pro,iter4,1.0,0.5
Ethan,Ethan bought a new laptop,1001,It cost $1001.,"A friend asked him, ",Was it expensive?,"Ethan said, ", Please provide the probability that the Ethan thinks that the laptop is expensive., Please provide the probability that the laptop costs $,False,sharp,1000,1001,laptop,0.7,gemini-1.5-pro,iter4,1.0,0.7
Alex,Alex bought a new laptop,1002,It cost $1002.,"A friend asked him, ",Was it expensive?,"Alex said, ", Please provide the probability that the Alex thinks that the laptop is expensive., Please provide the probability that the laptop costs $,False,sharp,1000,1001,laptop,0.7,gemini-1.5-pro,iter4,1.0,0.7
Winston,Winston bought a new laptop,1003,It cost $1003.,"A friend asked him, ",Was it expensive?,"Winston said, ", Please provide the probability that the Winston thinks that the laptop is expensive., Please provide the probability that the laptop costs $,False,sharp,1000,1001,laptop,0.7,gemini-1.5-pro,iter4,1.0,0.7
