name,context,price,utterance_template,state_template,question_prefix,question_affect,response_prefix,task_2,is_price_space,price_type,price_rounded,closest_price_space,item
David,David bought a new electric kettle,51,It cost $51.,It cost $50.,"A friend asked him, ",Was it expensive?,"David said, ", Please provide the probability that David thinks that the electric kettle is expensive.,False,sharp,50,51,electric kettle
Kenneth,Kenneth bought a new electric kettle,51,It cost $51.,It cost $50.,"A friend asked him, ",Was it expensive?,"Kenneth said, ", Please provide the probability that Kenneth thinks that the electric kettle is expensive.,False,sharp,50,51,electric kettle
Frank,Frank bought a new electric kettle,51,It cost $51.,It cost $51.,"A friend asked him, ",Was it expensive?,"Frank said, ", Please provide the probability that Frank thinks that the electric kettle is expensive.,False,sharp,50,51,electric kettle
Bob,Bob bought a new electric kettle,52,It cost $52.,It cost $47.,"A friend asked him, ",Was it expensive?,"Bob said, ", Please provide the probability that Bob thinks that the electric kettle is expensive.,False,sharp,50,51,electric kettle
Robert,Robert bought a new electric kettle,52,It cost $52.,It cost $48.,"A friend asked him, ",Was it expensive?,"Robert said, ", Please provide the probability that Robert thinks that the electric kettle is expensive.,False,sharp,50,51,electric kettle
Matt,Matt bought a new electric kettle,52,It cost $52.,It cost $49.,"A friend asked him, ",Was it expensive?,"Matt said, ", Please provide the probability that Matt thinks that the electric kettle is expensive.,False,sharp,50,51,electric kettle
Frank,Frank bought a new electric kettle,52,It cost $52.,It cost $50.,"A friend asked him, ",Was it expensive?,"Frank said, ", Please provide the probability that Frank thinks that the electric kettle is expensive.,False,sharp,50,51,electric kettle
Quinn,Quinn bought a new electric kettle,52,It cost $52.,It cost $50.,"A friend asked him, ",Was it expensive?,"Quinn said, ", Please provide the probability that Quinn thinks that the electric kettle is expensive.,False,sharp,50,51,electric kettle
Alex,Alex bought a new electric kettle,52,It cost $52.,It cost $51.,"A friend asked him, ",Was it expensive?,"Alex said, ", Please provide the probability that Alex thinks that the electric kettle is expensive.,False,sharp,50,51,electric kettle
Alex,Alex bought a new electric kettle,52,It cost $52.,It cost $52.,"A friend asked him, ",Was it expensive?,"Alex said, ", Please provide the probability that Alex thinks that the electric kettle is expensive.,False,sharp,50,51,electric kettle
Victor,Victor bought a new electric kettle,53,It cost $53.,It cost $47.,"A friend asked him, ",Was it expensive?,"Victor said, ", Please provide the probability that Victor thinks that the electric kettle is expensive.,False,sharp,50,51,electric kettle
Ivan,Ivan bought a new electric kettle,53,It cost $53.,It cost $48.,"A friend asked him, ",Was it expensive?,"Ivan said, ", Please provide the probability that Ivan thinks that the electric kettle is expensive.,False,sharp,50,51,electric kettle
Barry,Barry bought a new electric kettle,53,It cost $53.,It cost $49.,"A friend asked him, ",Was it expensive?,"Barry said, ", Please provide the probability that Barry thinks that the electric kettle is expensive.,False,sharp,50,51,electric kettle
Frank,Frank bought a new electric kettle,53,It cost $53.,It cost $50.,"A friend asked him, ",Was it expensive?,"Frank said, ", Please provide the probability that Frank thinks that the electric kettle is expensive.,False,sharp,50,51,electric kettle
Tom,Tom bought a new electric kettle,53,It cost $53.,It cost $50.,"A friend asked him, ",Was it expensive?,"Tom said, ", Please provide the probability that Tom thinks that the electric kettle is expensive.,False,sharp,50,51,electric kettle
Luke,Luke bought a new electric kettle,53,It cost $53.,It cost $51.,"A friend asked him, ",Was it expensive?,"Luke said, ", Please provide the probability that Luke thinks that the electric kettle is expensive.,False,sharp,50,51,electric kettle
Jake,Jake bought a new electric kettle,53,It cost $53.,It cost $52.,"A friend asked him, ",Was it expensive?,"Jake said, ", Please provide the probability that Jake thinks that the electric kettle is expensive.,False,sharp,50,51,electric kettle
Robert,Robert bought a new electric kettle,53,It cost $53.,It cost $53.,"A friend asked him, ",Was it expensive?,"Robert said, ", Please provide the probability that Robert thinks that the electric kettle is expensive.,False,sharp,50,51,electric kettle
Tom,Tom bought a new electric kettle,497,It cost $497.,It cost $47.,"A friend asked him, ",Was it expensive?,"Tom said, ", Please provide the probability that Tom thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Owen,Owen bought a new electric kettle,497,It cost $497.,It cost $48.,"A friend asked him, ",Was it expensive?,"Owen said, ", Please provide the probability that Owen thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Fred,Fred bought a new electric kettle,497,It cost $497.,It cost $49.,"A friend asked him, ",Was it expensive?,"Fred said, ", Please provide the probability that Fred thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Alex,Alex bought a new electric kettle,497,It cost $497.,It cost $50.,"A friend asked him, ",Was it expensive?,"Alex said, ", Please provide the probability that Alex thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Eric,Eric bought a new electric kettle,497,It cost $497.,It cost $50.,"A friend asked him, ",Was it expensive?,"Eric said, ", Please provide the probability that Eric thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Gary,Gary bought a new electric kettle,497,It cost $497.,It cost $51.,"A friend asked him, ",Was it expensive?,"Gary said, ", Please provide the probability that Gary thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Eric,Eric bought a new electric kettle,497,It cost $497.,It cost $52.,"A friend asked him, ",Was it expensive?,"Eric said, ", Please provide the probability that Eric thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Albert,Albert bought a new electric kettle,497,It cost $497.,It cost $53.,"A friend asked him, ",Was it expensive?,"Albert said, ", Please provide the probability that Albert thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Quinn,Quinn bought a new electric kettle,497,It cost $497.,It cost $497.,"A friend asked him, ",Was it expensive?,"Quinn said, ", Please provide the probability that Quinn thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Matt,Matt bought a new electric kettle,498,It cost $498.,It cost $47.,"A friend asked him, ",Was it expensive?,"Matt said, ", Please provide the probability that Matt thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Matt,Matt bought a new electric kettle,498,It cost $498.,It cost $48.,"A friend asked him, ",Was it expensive?,"Matt said, ", Please provide the probability that Matt thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Robert,Robert bought a new electric kettle,498,It cost $498.,It cost $49.,"A friend asked him, ",Was it expensive?,"Robert said, ", Please provide the probability that Robert thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Nathan,Nathan bought a new electric kettle,498,It cost $498.,It cost $50.,"A friend asked him, ",Was it expensive?,"Nathan said, ", Please provide the probability that Nathan thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Barry,Barry bought a new electric kettle,498,It cost $498.,It cost $50.,"A friend asked him, ",Was it expensive?,"Barry said, ", Please provide the probability that Barry thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Bob,Bob bought a new electric kettle,498,It cost $498.,It cost $51.,"A friend asked him, ",Was it expensive?,"Bob said, ", Please provide the probability that Bob thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Harry,Harry bought a new electric kettle,498,It cost $498.,It cost $52.,"A friend asked him, ",Was it expensive?,"Harry said, ", Please provide the probability that Harry thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Robert,Robert bought a new electric kettle,498,It cost $498.,It cost $53.,"A friend asked him, ",Was it expensive?,"Robert said, ", Please provide the probability that Robert thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Calvin,Calvin bought a new electric kettle,498,It cost $498.,It cost $497.,"A friend asked him, ",Was it expensive?,"Calvin said, ", Please provide the probability that Calvin thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Frank,Frank bought a new electric kettle,498,It cost $498.,It cost $498.,"A friend asked him, ",Was it expensive?,"Frank said, ", Please provide the probability that Frank thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Barry,Barry bought a new electric kettle,499,It cost $499.,It cost $47.,"A friend asked him, ",Was it expensive?,"Barry said, ", Please provide the probability that Barry thinks that the electric kettle is expensive.,True,sharp,500,501,electric kettle
Zach,Zach bought a new electric kettle,499,It cost $499.,It cost $48.,"A friend asked him, ",Was it expensive?,"Zach said, ", Please provide the probability that Zach thinks that the electric kettle is expensive.,True,sharp,500,501,electric kettle
Nathan,Nathan bought a new electric kettle,499,It cost $499.,It cost $49.,"A friend asked him, ",Was it expensive?,"Nathan said, ", Please provide the probability that Nathan thinks that the electric kettle is expensive.,True,sharp,500,501,electric kettle
Charles,Charles bought a new electric kettle,499,It cost $499.,It cost $50.,"A friend asked him, ",Was it expensive?,"Charles said, ", Please provide the probability that Charles thinks that the electric kettle is expensive.,True,sharp,500,501,electric kettle
Matt,Matt bought a new electric kettle,499,It cost $499.,It cost $50.,"A friend asked him, ",Was it expensive?,"Matt said, ", Please provide the probability that Matt thinks that the electric kettle is expensive.,True,sharp,500,501,electric kettle
Nathan,Nathan bought a new electric kettle,499,It cost $499.,It cost $51.,"A friend asked him, ",Was it expensive?,"Nathan said, ", Please provide the probability that Nathan thinks that the electric kettle is expensive.,True,sharp,500,501,electric kettle
Kenneth,Kenneth bought a new electric kettle,499,It cost $499.,It cost $52.,"A friend asked him, ",Was it expensive?,"Kenneth said, ", Please provide the probability that Kenneth thinks that the electric kettle is expensive.,True,sharp,500,501,electric kettle
David,David bought a new electric kettle,499,It cost $499.,It cost $53.,"A friend asked him, ",Was it expensive?,"David said, ", Please provide the probability that David thinks that the electric kettle is expensive.,True,sharp,500,501,electric kettle
George,George bought a new electric kettle,499,It cost $499.,It cost $497.,"A friend asked him, ",Was it expensive?,"George said, ", Please provide the probability that George thinks that the electric kettle is expensive.,True,sharp,500,501,electric kettle
Gary,Gary bought a new electric kettle,499,It cost $499.,It cost $498.,"A friend asked him, ",Was it expensive?,"Gary said, ", Please provide the probability that Gary thinks that the electric kettle is expensive.,True,sharp,500,501,electric kettle
Calvin,Calvin bought a new electric kettle,499,It cost $499.,It cost $499.,"A friend asked him, ",Was it expensive?,"Calvin said, ", Please provide the probability that Calvin thinks that the electric kettle is expensive.,True,sharp,500,501,electric kettle
Patrick,Patrick bought a new electric kettle,500,It cost $500.,It cost $47.,"A friend asked him, ",Was it expensive?,"Patrick said, ", Please provide the probability that Patrick thinks that the electric kettle is expensive.,True,round,500,500,electric kettle
Kenneth,Kenneth bought a new electric kettle,500,It cost $500.,It cost $48.,"A friend asked him, ",Was it expensive?,"Kenneth said, ", Please provide the probability that Kenneth thinks that the electric kettle is expensive.,True,round,500,500,electric kettle
Robert,Robert bought a new electric kettle,500,It cost $500.,It cost $49.,"A friend asked him, ",Was it expensive?,"Robert said, ", Please provide the probability that Robert thinks that the electric kettle is expensive.,True,round,500,500,electric kettle
Victor,Victor bought a new electric kettle,500,It cost $500.,It cost $50.,"A friend asked him, ",Was it expensive?,"Victor said, ", Please provide the probability that Victor thinks that the electric kettle is expensive.,True,round,500,500,electric kettle
Alex,Alex bought a new electric kettle,500,It cost $500.,It cost $50.,"A friend asked him, ",Was it expensive?,"Alex said, ", Please provide the probability that Alex thinks that the electric kettle is expensive.,True,round,500,500,electric kettle
Alex,Alex bought a new electric kettle,500,It cost $500.,It cost $51.,"A friend asked him, ",Was it expensive?,"Alex said, ", Please provide the probability that Alex thinks that the electric kettle is expensive.,True,round,500,500,electric kettle
Alex,Alex bought a new electric kettle,500,It cost $500.,It cost $52.,"A friend asked him, ",Was it expensive?,"Alex said, ", Please provide the probability that Alex thinks that the electric kettle is expensive.,True,round,500,500,electric kettle
Winston,Winston bought a new electric kettle,500,It cost $500.,It cost $53.,"A friend asked him, ",Was it expensive?,"Winston said, ", Please provide the probability that Winston thinks that the electric kettle is expensive.,True,round,500,500,electric kettle
Eric,Eric bought a new electric kettle,500,It cost $500.,It cost $497.,"A friend asked him, ",Was it expensive?,"Eric said, ", Please provide the probability that Eric thinks that the electric kettle is expensive.,True,round,500,500,electric kettle
Steve,Steve bought a new electric kettle,500,It cost $500.,It cost $498.,"A friend asked him, ",Was it expensive?,"Steve said, ", Please provide the probability that Steve thinks that the electric kettle is expensive.,True,round,500,500,electric kettle
Quinn,Quinn bought a new electric kettle,500,It cost $500.,It cost $499.,"A friend asked him, ",Was it expensive?,"Quinn said, ", Please provide the probability that Quinn thinks that the electric kettle is expensive.,True,round,500,500,electric kettle
Barry,Barry bought a new electric kettle,500,It cost $500.,It cost $500.,"A friend asked him, ",Was it expensive?,"Barry said, ", Please provide the probability that Barry thinks that the electric kettle is expensive.,True,round,500,500,electric kettle
Alex,Alex bought a new electric kettle,500,It cost $500.,It cost $500.,"A friend asked him, ",Was it expensive?,"Alex said, ", Please provide the probability that Alex thinks that the electric kettle is expensive.,True,round,500,500,electric kettle
Steve,Steve bought a new electric kettle,500,It cost $500.,It cost $47.,"A friend asked him, ",Was it expensive?,"Steve said, ", Please provide the probability that Steve thinks that the electric kettle is expensive.,True,round,500,500,electric kettle
Barry,Barry bought a new electric kettle,500,It cost $500.,It cost $48.,"A friend asked him, ",Was it expensive?,"Barry said, ", Please provide the probability that Barry thinks that the electric kettle is expensive.,True,round,500,500,electric kettle
Tom,Tom bought a new electric kettle,500,It cost $500.,It cost $49.,"A friend asked him, ",Was it expensive?,"Tom said, ", Please provide the probability that Tom thinks that the electric kettle is expensive.,True,round,500,500,electric kettle
George,George bought a new electric kettle,500,It cost $500.,It cost $50.,"A friend asked him, ",Was it expensive?,"George said, ", Please provide the probability that George thinks that the electric kettle is expensive.,True,round,500,500,electric kettle
Winston,Winston bought a new electric kettle,500,It cost $500.,It cost $50.,"A friend asked him, ",Was it expensive?,"Winston said, ", Please provide the probability that Winston thinks that the electric kettle is expensive.,True,round,500,500,electric kettle
Fred,Fred bought a new electric kettle,500,It cost $500.,It cost $51.,"A friend asked him, ",Was it expensive?,"Fred said, ", Please provide the probability that Fred thinks that the electric kettle is expensive.,True,round,500,500,electric kettle
Tom,Tom bought a new electric kettle,500,It cost $500.,It cost $52.,"A friend asked him, ",Was it expensive?,"Tom said, ", Please provide the probability that Tom thinks that the electric kettle is expensive.,True,round,500,500,electric kettle
Daniel,Daniel bought a new electric kettle,500,It cost $500.,It cost $53.,"A friend asked him, ",Was it expensive?,"Daniel said, ", Please provide the probability that Daniel thinks that the electric kettle is expensive.,True,round,500,500,electric kettle
Quinn,Quinn bought a new electric kettle,500,It cost $500.,It cost $497.,"A friend asked him, ",Was it expensive?,"Quinn said, ", Please provide the probability that Quinn thinks that the electric kettle is expensive.,True,round,500,500,electric kettle
Patrick,Patrick bought a new electric kettle,500,It cost $500.,It cost $498.,"A friend asked him, ",Was it expensive?,"Patrick said, ", Please provide the probability that Patrick thinks that the electric kettle is expensive.,True,round,500,500,electric kettle
Luke,Luke bought a new electric kettle,500,It cost $500.,It cost $499.,"A friend asked him, ",Was it expensive?,"Luke said, ", Please provide the probability that Luke thinks that the electric kettle is expensive.,True,round,500,500,electric kettle
Harry,Harry bought a new electric kettle,500,It cost $500.,It cost $500.,"A friend asked him, ",Was it expensive?,"Harry said, ", Please provide the probability that Harry thinks that the electric kettle is expensive.,True,round,500,500,electric kettle
Charles,Charles bought a new electric kettle,500,It cost $500.,It cost $500.,"A friend asked him, ",Was it expensive?,"Charles said, ", Please provide the probability that Charles thinks that the electric kettle is expensive.,True,round,500,500,electric kettle
Kenneth,Kenneth bought a new electric kettle,501,It cost $501.,It cost $47.,"A friend asked him, ",Was it expensive?,"Kenneth said, ", Please provide the probability that Kenneth thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Fred,Fred bought a new electric kettle,501,It cost $501.,It cost $48.,"A friend asked him, ",Was it expensive?,"Fred said, ", Please provide the probability that Fred thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Gary,Gary bought a new electric kettle,501,It cost $501.,It cost $49.,"A friend asked him, ",Was it expensive?,"Gary said, ", Please provide the probability that Gary thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Ivan,Ivan bought a new electric kettle,501,It cost $501.,It cost $50.,"A friend asked him, ",Was it expensive?,"Ivan said, ", Please provide the probability that Ivan thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Matt,Matt bought a new electric kettle,501,It cost $501.,It cost $50.,"A friend asked him, ",Was it expensive?,"Matt said, ", Please provide the probability that Matt thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Jake,Jake bought a new electric kettle,501,It cost $501.,It cost $51.,"A friend asked him, ",Was it expensive?,"Jake said, ", Please provide the probability that Jake thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Tom,Tom bought a new electric kettle,501,It cost $501.,It cost $52.,"A friend asked him, ",Was it expensive?,"Tom said, ", Please provide the probability that Tom thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Albert,Albert bought a new electric kettle,501,It cost $501.,It cost $53.,"A friend asked him, ",Was it expensive?,"Albert said, ", Please provide the probability that Albert thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Owen,Owen bought a new electric kettle,501,It cost $501.,It cost $497.,"A friend asked him, ",Was it expensive?,"Owen said, ", Please provide the probability that Owen thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Bob,Bob bought a new electric kettle,501,It cost $501.,It cost $498.,"A friend asked him, ",Was it expensive?,"Bob said, ", Please provide the probability that Bob thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Zach,Zach bought a new electric kettle,501,It cost $501.,It cost $499.,"A friend asked him, ",Was it expensive?,"Zach said, ", Please provide the probability that Zach thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
David,David bought a new electric kettle,501,It cost $501.,It cost $500.,"A friend asked him, ",Was it expensive?,"David said, ", Please provide the probability that David thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Owen,Owen bought a new electric kettle,501,It cost $501.,It cost $500.,"A friend asked him, ",Was it expensive?,"Owen said, ", Please provide the probability that Owen thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Albert,Albert bought a new electric kettle,501,It cost $501.,It cost $501.,"A friend asked him, ",Was it expensive?,"Albert said, ", Please provide the probability that Albert thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Steve,Steve bought a new electric kettle,502,It cost $502.,It cost $47.,"A friend asked him, ",Was it expensive?,"Steve said, ", Please provide the probability that Steve thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Frank,Frank bought a new electric kettle,502,It cost $502.,It cost $48.,"A friend asked him, ",Was it expensive?,"Frank said, ", Please provide the probability that Frank thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Luke,Luke bought a new electric kettle,502,It cost $502.,It cost $49.,"A friend asked him, ",Was it expensive?,"Luke said, ", Please provide the probability that Luke thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Tom,Tom bought a new electric kettle,502,It cost $502.,It cost $50.,"A friend asked him, ",Was it expensive?,"Tom said, ", Please provide the probability that Tom thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Calvin,Calvin bought a new electric kettle,502,It cost $502.,It cost $50.,"A friend asked him, ",Was it expensive?,"Calvin said, ", Please provide the probability that Calvin thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Alex,Alex bought a new electric kettle,502,It cost $502.,It cost $51.,"A friend asked him, ",Was it expensive?,"Alex said, ", Please provide the probability that Alex thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Matt,Matt bought a new electric kettle,502,It cost $502.,It cost $52.,"A friend asked him, ",Was it expensive?,"Matt said, ", Please provide the probability that Matt thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Zach,Zach bought a new electric kettle,502,It cost $502.,It cost $53.,"A friend asked him, ",Was it expensive?,"Zach said, ", Please provide the probability that Zach thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Frank,Frank bought a new electric kettle,502,It cost $502.,It cost $497.,"A friend asked him, ",Was it expensive?,"Frank said, ", Please provide the probability that Frank thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Frank,Frank bought a new electric kettle,502,It cost $502.,It cost $498.,"A friend asked him, ",Was it expensive?,"Frank said, ", Please provide the probability that Frank thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Zach,Zach bought a new electric kettle,502,It cost $502.,It cost $499.,"A friend asked him, ",Was it expensive?,"Zach said, ", Please provide the probability that Zach thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Steve,Steve bought a new electric kettle,502,It cost $502.,It cost $500.,"A friend asked him, ",Was it expensive?,"Steve said, ", Please provide the probability that Steve thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Jake,Jake bought a new electric kettle,502,It cost $502.,It cost $500.,"A friend asked him, ",Was it expensive?,"Jake said, ", Please provide the probability that Jake thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Winston,Winston bought a new electric kettle,502,It cost $502.,It cost $501.,"A friend asked him, ",Was it expensive?,"Winston said, ", Please provide the probability that Winston thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Fred,Fred bought a new electric kettle,502,It cost $502.,It cost $502.,"A friend asked him, ",Was it expensive?,"Fred said, ", Please provide the probability that Fred thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Matt,Matt bought a new electric kettle,503,It cost $503.,It cost $47.,"A friend asked him, ",Was it expensive?,"Matt said, ", Please provide the probability that Matt thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Fred,Fred bought a new electric kettle,503,It cost $503.,It cost $48.,"A friend asked him, ",Was it expensive?,"Fred said, ", Please provide the probability that Fred thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Gary,Gary bought a new electric kettle,503,It cost $503.,It cost $49.,"A friend asked him, ",Was it expensive?,"Gary said, ", Please provide the probability that Gary thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Kenneth,Kenneth bought a new electric kettle,503,It cost $503.,It cost $50.,"A friend asked him, ",Was it expensive?,"Kenneth said, ", Please provide the probability that Kenneth thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Victor,Victor bought a new electric kettle,503,It cost $503.,It cost $50.,"A friend asked him, ",Was it expensive?,"Victor said, ", Please provide the probability that Victor thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Bob,Bob bought a new electric kettle,503,It cost $503.,It cost $51.,"A friend asked him, ",Was it expensive?,"Bob said, ", Please provide the probability that Bob thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Jake,Jake bought a new electric kettle,503,It cost $503.,It cost $52.,"A friend asked him, ",Was it expensive?,"Jake said, ", Please provide the probability that Jake thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Fred,Fred bought a new electric kettle,503,It cost $503.,It cost $53.,"A friend asked him, ",Was it expensive?,"Fred said, ", Please provide the probability that Fred thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Frank,Frank bought a new electric kettle,503,It cost $503.,It cost $497.,"A friend asked him, ",Was it expensive?,"Frank said, ", Please provide the probability that Frank thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Calvin,Calvin bought a new electric kettle,503,It cost $503.,It cost $498.,"A friend asked him, ",Was it expensive?,"Calvin said, ", Please provide the probability that Calvin thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Nathan,Nathan bought a new electric kettle,503,It cost $503.,It cost $499.,"A friend asked him, ",Was it expensive?,"Nathan said, ", Please provide the probability that Nathan thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Victor,Victor bought a new electric kettle,503,It cost $503.,It cost $500.,"A friend asked him, ",Was it expensive?,"Victor said, ", Please provide the probability that Victor thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
Jake,Jake bought a new electric kettle,503,It cost $503.,It cost $500.,"A friend asked him, ",Was it expensive?,"Jake said, ", Please provide the probability that Jake thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle
